22	24	29	31	35	4	11
15	22	31	34	35	5	12
3	4	18	23	32	1	6
6	10	16	17	25	2	4
1	9	19	20	30	2	11
1	16	20	23	28	3	6
14	16	25	26	35	4	9
2	8	11	21	23	4	7
1	3	9	19	34	9	12
6	8	18	29	34	9	11
29	32	33	34	35	9	10
3	12	15	29	34	7	11
12	17	27	29	34	6	9
1	2	7	29	32	6	7
2	8	12	13	17	11	12
1	14	19	24	31	3	12
13	14	29	32	34	3	12
3	4	16	23	28	6	9
3	6	17	22	23	4	6
2	6	11	12	18	5	12
2	4	24	29	33	1	2
8	10	12	23	25	3	10
8	10	23	32	34	8	10
6	16	20	25	31	4	9
22	24	26	27	34	2	10
5	9	13	33	35	1	8
2	3	10	19	27	6	10
20	26	30	34	35	3	10
15	22	25	29	35	9	11
11	14	27	33	35	2	7
3	21	27	31	32	6	8
1	13	21	23	32	4	11
1	5	8	14	22	3	12
6	8	11	13	22	2	11
7	11	16	31	32	1	12
15	18	21	27	34	1	2
1	6	7	17	31	11	12
6	21	25	27	32	8	9
10	11	20	21	35	7	11
5	21	25	28	35	1	4
3	16	17	22	35	1	8
7	10	22	31	35	5	6
4	9	22	24	31	2	6
4	5	7	12	26	1	10
9	16	20	26	35	11	12
4	16	18	23	30	1	10
1	6	15	19	35	2	9
8	25	26	29	35	6	8
9	10	15	17	32	4	6
13	21	22	30	35	1	11
3	7	24	28	35	8	11
1	14	29	32	33	5	10
11	16	19	21	25	1	10
4	10	19	29	34	3	6
10	16	24	31	33	7	10
4	11	17	20	21	5	9
14	16	30	32	35	6	7
8	21	25	28	33	2	6
4	15	23	31	33	3	9
12	13	29	30	31	4	7
2	10	19	28	29	2	9
1	4	10	14	29	11	12
10	31	33	34	35	7	12
2	16	32	33	35	5	10
19	20	24	29	31	9	10
4	7	8	19	24	7	12
11	18	25	30	31	4	9
4	9	13	14	33	6	10
2	13	16	21	35	1	5
7	26	29	30	35	3	4
10	22	32	33	35	1	7
21	24	26	27	33	1	5
4	5	9	12	23	2	11
16	17	23	24	31	5	10
5	11	20	30	32	7	11
2	9	12	15	31	9	10
4	6	12	13	24	1	4
9	12	14	22	23	1	2
6	9	25	26	31	2	8
1	15	20	25	27	5	10
6	18	20	22	35	4	9
3	5	14	33	34	7	8
1	5	20	21	24	3	4
5	11	18	29	34	10	11
17	24	28	29	33	2	5
14	18	19	26	28	3	9
8	18	30	31	33	4	9
17	18	21	23	33	6	10
8	13	24	30	34	1	12
4	20	24	31	33	9	12
7	12	26	31	32	3	8
6	19	27	28	29	6	10
6	8	16	25	27	8	12
1	2	11	34	35	3	10
1	12	24	31	32	10	12
1	11	13	32	35	2	7
9	22	24	31	33	8	9
18	25	29	31	34	9	10
10	12	26	29	34	5	7
3	4	5	12	28	3	12
2	6	8	17	32	8	9
4	8	12	24	30	5	8
6	23	24	27	29	6	8
14	20	22	24	27	7	10
2	10	29	32	35	2	3
1	11	19	22	35	5	9
4	7	10	28	34	1	6
9	18	20	27	33	6	9
8	10	11	17	19	6	9
2	14	25	29	32	1	6
3	6	7	11	30	2	3
8	24	25	29	31	4	5
4	5	15	17	33	4	8
5	10	13	21	24	4	9
9	12	13	25	31	8	10
6	26	31	32	34	7	10
8	12	17	20	30	1	2
6	10	12	15	28	4	12
1	21	22	24	25	8	10
5	17	23	31	32	4	8
3	11	17	19	26	7	12
6	11	18	29	30	4	11
3	21	23	26	35	5	8
14	20	23	27	28	2	4
3	9	19	27	33	9	10
3	10	21	23	30	1	9
6	7	18	34	35	5	10
2	12	13	29	30	5	7
9	19	22	30	32	1	10
11	20	24	31	35	4	10
12	13	19	32	33	2	10
7	11	15	27	35	4	7
4	8	19	22	29	8	11
7	17	21	22	28	5	10
5	10	13	32	35	4	5
5	8	10	31	33	2	4
2	21	23	27	32	10	11
14	32	33	34	35	2	4
11	25	26	27	35	7	8
12	18	22	23	30	6	12
1	13	22	25	27	2	10
1	11	14	28	30	3	10
1	5	11	26	27	3	7
1	7	9	11	33	3	11
3	18	19	30	35	5	9
1	13	21	23	32	3	6
5	14	23	31	35	2	6
2	14	28	30	35	4	12
15	19	25	30	31	3	9
5	8	9	17	33	5	6
3	9	11	29	33	3	12
7	13	21	25	31	8	10
3	13	17	23	30	1	11
7	10	14	19	32	3	6
